pan B73 B97 CML103 CML228 CML247 CML277 CML322 CML333 CML52 CML69 HP301 Il14H Ki11 Ki3 Ky21 M162W M37W Mo18W Ms71 NC350 NC358 Oh43 Oh7B P39 Tx303 Tzi8 median
pan_gene_13399 2529 2529 2529 2529 2535 2529 2529 2529 2529 2529 2529 2529 2529 2529 2529 2529 2529 2529 2529 2529 2529 2529 2529 2529 2529 2529 2529
pan_gene_134 687 687 687 687 687 687 687 687 687 687 687 657 657 687 687 687 687 687 687 687 687 687 687 687 687 687 687
pan_gene_13400 1074 1185 NA NA 1185 NA 1185 1185 1185 1185 1185 1185 1185 1185 1185 1185 1185 1185 1185 NA 1185 1185 1185 1185 1185 1185 1185
pan_gene_13401 1800 1800 1800 1800 1800 1800 1800 1800 1800 1800 1800 1800 1800 1800 1800 1800 1800 NA 1800 1800 1800 1800 1800 1800 NA 1800 1800
pan_gene_13402 414 NA 423 414 NA NA 414 423 NA 414 NA NA 414 423 414 414 NA 414 414 NA 414 414 NA 414 NA NA 414
pan_gene_13403 1962 NA 1962 NA NA 1971 NA NA 1968 NA NA 1965 NA 1953 NA 1962 1971 NA NA 1953 1953 1956 NA NA 1953 NA 1962
pan_gene_13407 594 594 594 594 594 594 594 594 NA NA 594 594 594 594 594 594 594 594 594 594 594 594 594 594 594 594 594
pan_gene_13408 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584 1584
pan_gene_13409 1962 1962 1962 1962 1962 1953 1962 1962 1953 1962 1962 1953 1962 1962 1953 1953 1953 1962 1953 1962 1962 1962 1962 1953 1962 1962 1962
pan_gene_1341 1578 1578 1578 1581 1578 1578 1578 1578 1578 1578 1578 1578 1578 1578 1578 1581 1578 1581 1578 1578 1578 1578 1581 1578 1581 1581 1578
pan_gene_13412 732 732 732 732 732 NA 732 732 732 732 732 732 732 NA 732 732 732 732 732 732 732 732 732 732 732 732 732
pan_gene_13413 1956 1956 2085 1956 1956 1956 1956 2085 NA 1956 1956 2085 1956 2088 1956 2085 NA 2085 1956 1956 1956 NA 2085 2085 1956 1956 1956
pan_gene_13414 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
pan_gene_13415 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
pan_gene_13417 288 288 288 288 288 NA 288 288 NA 288 288 288 NA 288 288 288 288 288 288 288 NA 288 288 288 288 288 288
pan_gene_13418 924 924 924 924 924 924 NA NA 924 NA 924 924 924 924 924 924 924 924 924 NA 924 924 924 924 924 924 924
pan_gene_13419 2475 2475 2475 2475 2475 2475 2475 2475 2475 2475 2475 2475 2475 2475 2475 2475 2475 2463 2475 2475 2475 2475 2475 2475 2475 2475 2475
pan_gene_1342 987 987 987 987 987 987 987 987 987 987 987 987 987 987 987 987 987 987 987 987 987 987 987 987 987 987 987
pan_gene_13420 NA 1089 NA 1089 NA NA NA NA NA NA NA NA NA NA 1089 NA NA NA NA 1116 NA NA NA NA NA 1089 1089
pan_gene_13422 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050 1050
pan_gene_13423 1758 1758 1767 1758 1758 1767 1767 1767 1767 1767 1767 1758 1767 1767 1758 1758 1767 1767 1767 NA 1767 1767 1758 1758 1758 1758 1767
pan_gene_13424 450 450 450 450 450 417 450 450 450 NA 450 450 450 450 450 450 450 450 450 450 450 450 NA 450 417 450 450
pan_gene_13425 NA 594 612 594 594 594 612 594 594 594 594 594 585 594 594 594 594 594 594 NA 612 594 612 594 594 594 594
pan_gene_13426 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600 600
pan_gene_13427 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455 1455
pan_gene_13428 1005 996 996 996 1005 1005 1005 999 996 1008 1002 999 996 1008 1005 999 1005 1005 1002 996 999 996 1005 999 1005 1005 1002
pan_gene_1343 NA 990 1080 990 990 990 990 NA 987 1080 990 NA NA 990 990 NA 996 996 990 990 990 990 990 996 987 NA 990
pan_gene_13430 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110 1110
pan_gene_13432 594 594 594 594 594 594 594 591 594 594 591 594 594 594 594 594 594 594 591 594 594 594 594 594 594 594 594
pan_gene_13433 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437 1437
pan_gene_13434 NA 1050 1050 1050 993 1050 NA 1062 1062 1062 984 NA 1062 1062 1050 1107 1062 993 1062 1062 1062 NA NA 1062 1050 1062 1062
pan_gene_13435 738 738 738 738 738 738 738 738 738 738 738 738 738 738 738 738 738 738 738 738 738 738 738 738 738 738 738
pan_gene_13437 NA 894 894 NA 909 894 894 909 894 921 894 894 909 NA 909 894 909 894 894 894 909 894 921 894 894 909 894
pan_gene_13438 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
pan_gene_13439 NA 342 NA 342 342 NA 342 342 NA NA NA 342 342 NA 339 342 NA 342 NA NA 342 342 NA 342 342 NA 342
pan_gene_13440 375 375 375 375 375 375 375 375 375 375 375 375 375 375 375 375 375 375 375 375 375 375 375 375 375 375 375
pan_gene_13441 876 879 876 879 879 879 879 879 879 879 876 879 879 879 879 NA 879 879 876 876 879 879 876 879 876 879 879
pan_gene_13442 933 933 933 933 933 933 933 933 933 933 933 933 933 933 933 933 933 933 933 933 933 933 933 933 NA 933 933
pan_gene_13443 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999
pan_gene_13444 573 NA NA 606 627 573 NA 588 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 573
pan_gene_13445 1440 1440 1449 1440 1440 NA 1449 1449 1449 1440 1440 1440 1449 1440 1440 1440 1440 1440 1440 1449 1440 1440 1440 1440 1440 1440 1440
pan_gene_13446 2853 2853 2853 2853 2853 2853 2853 2853 2853 2853 2853 2853 2853 2853 2853 2853 2853 2853 2853 2853 2853 2853 2853 NA 2853 NA 2853
pan_gene_13447 1170 1170 1170 1164 1170 1170 1170 1170 1170 NA 1170 1170 1170 1170 1170 1170 1170 1170 1170 1170 1170 1170 1170 1170 1170 1170 1170
pan_gene_13449 2109 2112 2112 2112 2112 2112 2112 2112 2112 2112 2112 2112 2112 2112 2112 2112 2112 2112 2112 2112 2112 2112 2109 2112 2112 2112 2112
pan_gene_1345 1761 1761 1761 1758 1758 NA 1758 1758 1758 1758 1758 1761 1761 1761 1761 NA 1761 1758 1761 1758 NA 1761 1758 1761 1758 1758 1758
pan_gene_13450 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412 2412
pan_gene_13452 606 NA NA NA 606 606 NA 606 606 NA NA 606 606 NA NA 606 606 NA 606 NA 606 606 606 606 NA 606 606
pan_gene_13453 NA 1698 1698 1689 1686 1686 1686 1686 1686 1686 1704 1686 1686 1686 NA 1686 1686 1683 1695 1698 1686 1683 NA 1686 1704 1686 1686
pan_gene_13454 639 639 639 639 639 639 639 639 639 NA 636 639 639 639 639 639 639 639 639 639 639 639 639 639 639 639 639
pan_gene_13456 3087 3090 3087 3075 3087 3087 3087 3087 3087 3090 3087 3087 3078 3090 3087 3090 3087 3087 3090 3087 3087 3087 3087 3087 3090 3087 3087
pan_gene_13458 NA NA 576 NA NA NA NA 621 NA NA NA NA NA 576 NA NA NA NA NA NA NA 537 NA NA NA NA 576
pan_gene_13459 NA 1218 1218 1218 1218 1218 1218 1218 1218 1218 1218 1218 NA 1218 1218 1218 1218 1218 1218 1218 1218 1218 1218 1218 1218 1218 1218
pan_gene_1346 NA NA NA 1572 1575 1572 1584 1575 1575 1575 1572 NA NA 1572 NA NA NA 1572 NA NA 1575 NA 1572 NA 1569 1575 1572
pan_gene_13460 594 594 594 633 594 594 594 594 594 594 594 594 594 594 594 594 594 594 594 594 594 594 594 594 594 594 594
pan_gene_13461 1932 1932 1932 1932 1932 1935 1932 1932 1935 1935 1932 1932 1935 1932 1932 1932 1932 1932 1932 1932 1935 1929 1932 1932 1932 1929 1932
pan_gene_13462 894 894 894 876 894 894 894 894 894 NA 894 894 894 894 894 894 894 894 894 894 894 894 894 894 894 894 894
pan_gene_13463 969 969 969 NA 969 969 969 969 969 969 969 969 969 969 969 969 969 969 969 NA 969 969 969 969 969 969 969
pan_gene_13464 NA 2382 2382 2382 2382 2391 NA 2382 2382 2382 2382 2382 2382 2382 NA 2382 2382 NA NA NA 2382 2382 2382 NA 2382 NA 2382
pan_gene_13465 888 888 888 888 888 888 888 888 888 888 888 888 888 888 888 888 888 888 888 888 888 888 888 888 888 888 888
pan_gene_13466 963 957 963 963 963 NA 963 963 963 963 963 963 963 963 963 963 963 963 963 963 NA 963 963 963 963 963 963
pan_gene_13467 336 342 354 321 321 NA 354 354 378 354 321 354 NA 321 354 321 NA 336 NA 354 354 354 336 NA 354 354 354
pan_gene_13469 1041 1041 1041 1041 1041 1041 1041 1041 NA 1041 1041 1041 1041 1041 1041 NA 1041 1041 1041 1041 1041 1041 1041 1041 1041 1041 1041
pan_gene_1347 1713 1614 1614 1620 1620 1608 1620 NA 1620 1620 1713 1614 1620 1620 1620 1614 1614 1719 1713 1713 1620 1707 1473 1608 1713 1713 1620
pan_gene_13470 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197 1197
pan_gene_13472 1419 1419 1419 1419 NA 1419 1419 1419 1419 1419 1467 1467 1419 1419 1419 1467 1467 1419 1419 1419 1419 1311 1467 1467 1419 1419 1419
pan_gene_13473 432 432 432 432 432 432 432 432 432 432 432 432 432 NA 432 432 432 432 432 432 432 432 432 432 432 432 432
pan_gene_13475 771 771 750 771 771 750 771 771 771 771 771 771 771 771 771 771 771 771 771 771 750 771 771 771 771 771 771
pan_gene_13476 318 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 318
pan_gene_13477 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
pan_gene_13478 855 855 855 855 855 855 855 855 855 855 855 855 855 855 855 855 855 855 855 855 855 855 855 855 855 855 855
pan_gene_13479 675 675 675 675 675 675 675 675 675 675 675 675 675 675 675 675 675 675 675 675 675 675 675 675 675 675 675
pan_gene_1348 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688 2688
pan_gene_13480 1782 1788 1782 1788 1788 1782 1782 1782 1782 NA 1782 NA 1782 1782 1782 NA 1788 1782 1788 1782 1782 1782 1782 NA 1788 1782 1782
pan_gene_13481 NA NA NA NA NA NA 738 738 738 738 NA NA NA 738 NA NA 735 738 735 738 738 738 738 NA 735 NA 738
pan_gene_13484 2103 2100 2103 2100 2100 2103 2103 2103 2103 NA 2103 2103 2103 NA 1989 2103 2103 1989 2103 NA 2103 2103 2103 2103 1989 2103 2103
pan_gene_13485 627 630 627 627 627 627 627 627 627 627 630 630 627 630 627 627 630 627 630 630 627 627 630 630 627 627 627
pan_gene_13487 2001 2001 2004 2007 2007 2004 2001 2001 2004 2001 2001 2013 2001 2001 2001 2001 2004 2007 2004 2001 2004 2001 2001 2013 2004 2001 2001
pan_gene_13488 NA 975 975 NA 972 NA NA 972 975 NA 972 975 972 972 972 975 975 NA NA 972 NA 975 972 975 975 972 975
pan_gene_13489 558 NA NA 558 558 558 558 558 558 558 549 534 558 558 558 549 564 558 558 558 558 549 549 609 564 558 558
pan_gene_1349 1431 1446 1437 1431 1437 1446 1437 1431 1443 1437 1443 1446 1431 1437 1446 1443 1437 1437 1431 1434 1437 1437 1446 1446 1437 1437 1437
pan_gene_13493 2607 NA 2604 2607 2607 2607 2604 2604 2607 2604 2607 2604 2604 2607 2604 2607 2604 2604 2607 2607 2607 2604 2607 2604 2604 2607 2605.5
pan_gene_13494 1041 1041 1041 1041 1041 1041 1041 1041 1044 1041 1041 1044 1032 1041 1041 1041 1041 1032 1041 1041 1041 1041 1041 1044 1041 1041 1041
pan_gene_13497 648 648 648 648 648 648 648 648 648 648 648 648 648 648 648 648 648 648 648 648 648 648 648 648 648 648 648
pan_gene_13498 1128 1128 1128 1128 NA 1128 1128 1128 1128 1128 1128 1128 1128 1128 1128 1128 1128 1098 1128 1128 1128 1128 1128 1128 1128 1128 1128
pan_gene_13499 2373 2373 2373 2373 2373 NA NA 2373 2373 NA NA 2373 2370 2370 2370 2373 2370 2373 NA 2370 2373 2373 2373 2373 2373 2370 2373
pan_gene_135 NA 483 483 483 483 525 483 483 483 525 483 NA 483 483 525 525 525 NA 483 483 483 525 525 525 NA NA 483
pan_gene_1350 822 822 822 822 822 822 822 822 822 NA 822 822 822 822 822 822 822 822 822 822 822 822 822 822 822 822 822
pan_gene_13500 NA 1503 1503 1503 1503 1503 1503 1503 1503 1503 1503 1503 1497 1497 1497 1503 1497 1503 1503 1497 1503 1503 1503 1503 1503 1497 1503
pan_gene_13501 510 462 483 510 510 510 477 477 510 510 462 510 477 483 477 522 477 510 510 477 468 510 462 510 NA 477 483
pan_gene_13502 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085 2085
pan_gene_13503 819 819 NA 819 819 819 819 819 819 819 819 819 819 819 819 819 819 819 819 819 819 819 819 819 819 819 819
pan_gene_13504 2523 2523 2523 2523 2523 2523 2523 2523 2523 2457 2523 2523 2523 2523 2523 2523 2523 2523 2523 2523 2523 2523 2523 2523 2523 2523 2523
pan_gene_13505 2649 2649 2625 2649 2649 2649 2649 2649 2649 2649 2649 2646 2649 2649 2649 2646 2625 2649 2649 2649 2649 2649 2649 2646 2649 2733 2649
pan_gene_13506 951 NA NA 957 957 NA NA NA NA NA NA 960 NA NA NA 960 NA NA 957 NA NA NA NA 960 NA NA 957
pan_gene_13507 789 789 789 789 789 789 789 789 789 789 789 789 789 789 789 789 789 789 789 789 789 789 789 789 789 789 789
pan_gene_13508 1164 NA 1164 1164 1164 1164 1164 1164 NA 1164 1164 1164 1164 1164 1164 NA 1164 1164 1164 1164 1164 NA 1164 1164 1164 1164 1164
pan_gene_13510 NA 1605 1599 1605 1605 1599 1599 1599 1605 1599 1605 1605 1599 1599 1599 1605 1599 1599 1599 1599 1599 1605 1605 1605 1599 1599 1599
pan_gene_13511 612 615 612 615 615 618 615 615 615 609 615 615 612 612 612 615 618 612 612 612 618 615 615 615 609 612 615
pan_gene_13512 1593 1593 1593 1593 1593 NA 1593 1593 1593 1593 1593 1593 1593 1593 1593 1593 1593 1593 1593 1593 1593 1593 NA 1593 1593 1593 1593
pan_gene_13513 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070 2070
pan_gene_13514 651 651 654 651 651 654 654 654 654 654 654 651 651 651 651 651 654 651 651 651 654 651 651 651 654 651 651
pan_gene_13515 1551 1551 1782 1782 1782 1782 1782 1782 1782 1782 1806 1551 NA 1551 1551 1551 1782 NA NA 1551 1782 1551 1551 1551 1782 NA 1666.5
pan_gene_13516 2364 2364 2370 2364 2364 2370 2370 2370 2370 NA 2370 2364 2364 2364 2364 2364 2370 2364 2364 2364 2370 2364 2364 2364 2370 2364 2364
pan_gene_13517 1737 1737 1737 1740 1740 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737 1737
pan_gene_13519 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518 1518
pan_gene_1352 1014 1050 1014 NA 1014 1038 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1014 1005 1014 1014 1014 1014
pan_gene_13520 1554 1569 1569 1569 1425 NA 1569 1569 1569 1569 1569 1569 1569 1569 1569 1569 1569 1569 1569 1569 1569 1569 1569 1569 1569 1569 1569
pan_gene_13521 540 543 540 540 540 540 NA NA 540 540 543 NA 540 540 NA 543 540 540 NA 540 540 543 540 555 540 540 540
pan_gene_13522 402 NA NA 402 NA NA NA NA NA 402 NA NA NA 402 NA NA 402 NA NA 402 NA NA NA NA NA 402 402
pan_gene_13527 669 NA 669 669 669 NA 669 669 NA 669 669 669 669 669 669 669 669 NA 669 NA NA NA NA 669 NA NA 669
pan_gene_13528 1407 1428 NA 1428 1428 1413 1428 1428 1416 1428 1416 1422 1308 1407 1407 1428 1416 1428 1425 1407 1413 1428 1425 1422 1278 1407 1419
pan_gene_13529 1479 NA 1449 1479 1365 1479 1479 1449 1479 NA 1479 1479 1479 1479 1479 1479 1479 1479 NA 1479 1479 1479 1449 1479 1479 1479 1479
pan_gene_1353 681 681 681 681 681 681 681 681 681 681 681 681 681 681 681 681 681 681 681 681 681 681 681 681 681 681 681
pan_gene_13530 2001 1989 1989 1989 1989 NA 1989 1989 1989 1899 1989 1989 NA 2001 2001 1989 1989 1989 1989 2001 NA 1989 1989 1989 1989 2001 1989
pan_gene_13531 810 810 819 810 NA 810 810 810 810 810 810 810 810 810 810 810 810 819 810 810 810 810 810 819 810 810 810
pan_gene_13532 963 963 963 963 963 963 963 963 963 NA 963 963 963 963 963 963 963 963 963 963 963 963 963 963 963 963 963
pan_gene_13533 NA 423 NA 423 NA NA 423 423 NA 426 423 NA NA NA NA NA NA NA NA NA 423 423 423 NA NA NA 423
pan_gene_13536 1281 1281 1281 1281 1242 1287 1281 1281 1275 1242 1281 1281 1281 1281 1281 1281 1275 1275 1275 1281 1287 1281 1281 1281 1281 1281 1281
pan_gene_13539 552 552 552 552 552 552 552 552 552 NA 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552 552
pan_gene_13541 1599 NA 1599 1599 NA 1599 NA NA 1599 1599 1599 NA NA NA NA 1602 1599 NA NA 1599 1599 NA 1602 1599 1599 1599 1599
pan_gene_13542 4242 4347 4347 4239 4347 4347 NA 4347 4347 4347 4347 4347 4347 4347 4347 4347 4191 4347 4347 4347 4347 4347 4347 4347 4347 4695 4347
pan_gene_13544 771 771 771 771 771 771 771 771 771 771 771 771 771 771 771 771 771 771 771 771 771 771 771 771 771 771 771
pan_gene_13545 1170 1170 1170 1170 1170 1170 1170 1170 1170 NA 1170 1170 1170 1170 1170 1170 1170 1170 1170 1170 1170 1170 1170 1170 1170 1170 1170
pan_gene_13547 2010 2010 2010 NA 2010 2010 2010 2010 2010 NA 2010 2010 NA 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010 2010
pan_gene_13548 1419 1419 1419 1419 1419 1419 1419 1419 1419 NA 1419 1419 1419 1419 1419 1419 1419 1419 1419 1419 1419 1419 1419 1419 1419 1419 1419
pan_gene_13549 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312 312
pan_gene_1355 597 597 597 597 597 597 597 603 597 NA 597 597 597 597 597 597 597 597 597 597 597 597 597 597 597 597 597
pan_gene_13550 825 825 816 825 828 825 NA 825 828 828 828 825 825 828 825 825 825 825 828 828 855 825 825 825 828 828 825
pan_gene_13551 483 483 483 483 483 483 483 483 483 483 483 483 483 483 483 483 483 483 483 483 483 483 483 483 483 483 483
pan_gene_13552 1113 NA 1113 1113 1113 1113 1113 1113 1116 NA 1113 1116 1116 1113 1113 1107 1113 1116 1113 1113 NA 1107 1116 1113 NA 1113 1113
pan_gene_13553 696 696 696 696 696 696 696 696 696 696 696 696 696 696 696 696 696 696 696 696 696 696 696 696 696 696 696
pan_gene_13557 NA 1152 1077 1068 1137 1068 NA 1146 1149 1077 1077 1077 1158 1158 NA 1125 1068 1077 1137 1068 1068 1152 1080 1080 NA 1077 1080
pan_gene_13558 1401 1389 1401 1389 1389 1389 1389 1389 1389 1389 1389 1389 1389 1389 1389 1389 1389 1389 1389 1389 1389 1389 1389 1389 1389 1389 1389
pan_gene_1356 909 909 909 NA 909 909 909 909 NA NA 909 NA NA NA 909 909 909 909 909 909 909 909 909 909 NA 909 909
pan_gene_13560 735 759 735 735 759 759 759 759 735 735 735 735 735 759 735 759 735 735 759 735 759 759 735 735 759 735 735
pan_gene_13561 NA 1263 1275 NA 1146 NA 1266 NA 1266 1266 NA NA 1284 1269 1263 NA NA 1266 1278 1263 NA NA 1266 1266 NA NA 1263
pan_gene_13563 1692 NA NA NA NA NA NA NA 1692 1665 NA NA NA NA NA 1692 NA 1692 NA NA NA 1692 NA 1536 1692 1692 1600.5
pan_gene_13564 1194 1194 1194 1194 NA 1194 1194 1194 1194 NA 1194 1194 1194 1194 1194 1194 1194 1194 1194 1194 1194 NA 1194 1194 1194 1194 1194
pan_gene_13565 1146 1137 1137 1146 1140 1146 1140 1140 1146 NA 1146 1140 1140 1146 1140 1140 1140 1146 1137 NA 1146 NA 1140 1146 1140 1137 1140
pan_gene_13566 NA 360 360 360 360 360 360 360 360 360 360 360 360 360 360 360 360 360 360 NA 360 360 360 360 360 360 360
pan_gene_13567 855 NA NA 867 855 867 855 867 867 855 855 855 855 NA 855 855 855 855 NA 855 867 855 855 855 855 NA 855
pan_gene_13569 1140 1140 1140 1140 1140 1140 1140 1149 1149 NA 1137 1140 1140 1140 1140 1140 1146 1140 1140 NA 1107 1140 1140 1137 1140 1140 1140
pan_gene_13570 1407 1407 1407 1407 1407 1407 1407 1407 1407 1407 1407 1407 1407 1407 1407 1407 1401 1407 1407 1407 1407 1407 1407 1401 1407 1407 1407
pan_gene_13571 558 NA NA NA NA 558 NA NA NA NA NA NA NA NA NA 558 NA NA 558 558 558 558 NA 525 558 NA 558
pan_gene_13572 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497 1497
pan_gene_13573 651 651 651 651 651 651 651 651 651 651 651 651 651 651 651 651 651 651 651 651 651 651 651 651 651 651 651
pan_gene_13574 843 843 843 843 843 843 843 843 843 843 843 843 843 843 843 843 843 843 843 843 843 843 843 843 843 843 843
pan_gene_13575 1794 1794 1794 1791 1794 1794 1791 1794 1794 1794 1794 1794 1794 1791 1794 1794 1794 1794 1794 1794 1794 1794 1794 1794 1794 1794 1794
pan_gene_13577 1227 1227 1227 1227 1221 1227 1227 1227 1227 1263 1221 1221 1227 1227 1227 1263 1221 1227 1227 1263 1227 1263 1227 1227 1263 1227 1227
pan_gene_1358 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827 1827
pan_gene_13581 NA NA NA NA NA NA NA 498 498 498 498 498 498 NA 498 NA NA 498 498 NA NA NA 498 NA NA NA 498
pan_gene_13582 663 663 663 663 663 663 663 663 663 663 663 663 663 663 663 663 663 663 663 663 663 663 663 663 663 663 663
pan_gene_13583 459 NA NA 459 459 NA 459 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 459 NA NA 459
pan_gene_13586 273 NA 273 273 NA NA NA NA NA NA NA 258 273 NA NA 273 NA 273 NA NA NA NA NA NA NA NA 273
pan_gene_13587 NA NA NA NA NA NA NA NA 1101 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1101
pan_gene_13588 NA 369 NA 402 NA 372 402 NA NA NA NA NA NA NA NA NA NA 372 372 NA NA NA 372 NA NA NA 372
pan_gene_13589 1431 1428 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431
pan_gene_1359 1098 1098 NA 1098 NA 1098 1098 1098 NA NA 1098 1098 NA 1098 1098 NA NA 1098 1098 NA 1098 1098 1098 1098 1098 NA 1098
pan_gene_13590 1689 1698 1689 1689 1689 1689 1689 1689 1689 1689 1689 1689 1689 1689 1689 1689 1689 1689 1689 1689 1689 1689 1689 1689 1689 1689 1689
pan_gene_13591 1452 1452 1452 1452 1452 1452 1452 1452 1452 1452 1425 1452 1452 1452 1452 1452 1452 1452 1452 1452 1452 1452 1452 1452 1452 1452 1452
pan_gene_13593 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1434 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431 1431
pan_gene_13594 NA NA NA NA 966 966 NA NA 966 966 960 960 966 966 NA 966 NA 966 NA 966 NA 960 NA NA 966 966 966
pan_gene_13595 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199 2199
pan_gene_13597 NA NA NA 1272 NA NA NA NA NA NA 1203 NA NA NA NA NA 1203 NA 1143 NA NA NA 1119 NA NA NA 1203
pan_gene_13598 NA NA NA NA NA NA NA NA 732 NA NA NA NA NA 759 732 NA NA NA 732 NA NA NA 732 NA 795 732
pan_gene_13599 1017 1017 1017 1017 1017 1017 990 1017 1017 NA 1017 1017 1017 1017 1017 1017 1017 1017 1017 1017 1017 1017 1017 1017 1017 1017 1017
pan_gene_136 2010 2010 2001 2010 2001 2001 2001 2010 2001 2010 2010 2001 2001 2010 2010 2010 2010 2001 2010 2010 2010 2010 2001 2010 2001 2010 2010
pan_gene_1360 873 876 873 873 873 873 873 873 873 873 873 876 873 873 873 873 873 873 873 873 873 873 876 876 873 873 873
pan_gene_13600 267 267 267 267 NA NA 267 NA NA 267 NA 267 267 NA 267 NA NA NA NA NA 267 267 NA NA 267 NA 267
pan_gene_13601 1140 1140 1143 1092 1140 1146 1140 1146 1140 1143 1140 NA 1140 1140 NA 1143 NA 1146 NA 1143 1140 1143 1140 1140 1143 1143 1140
pan_gene_13602 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734 1734
pan_gene_13603 558 558 558 558 558 558 558 558 558 558 558 558 NA 558 558 558 558 558 NA 558 558 558 558 NA 558 NA 558
pan_gene_13604 528 NA NA NA 528 NA 528 528 NA NA NA NA NA NA 528 NA NA 528 NA 528 528 NA NA NA 528 NA 528
pan_gene_13605 762 762 NA NA 762 762 762 NA NA NA NA NA 762 762 762 NA NA 762 762 NA 762 762 NA 762 NA NA 762
pan_gene_13606 1866 1920 1920 1920 1920 1920 1920 1920 1920 1920 1899 1920 1920 1920 1920 1920 1920 NA 1920 1920 1920 1920 NA 1920 1920 1920 1920
pan_gene_13607 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 442.5
pan_gene_13608 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 NA 252 252 252 NA 252 252 252 252
pan_gene_13609 2487 2487 2487 2487 2487 2487 2487 2487 2487 NA 2487 2487 2487 2487 2487 2487 2487 2487 2487 2487 2487 2487 2487 2487 2487 2487 2487
pan_gene_13610 717 NA NA NA NA NA NA 663 NA NA NA 717 NA NA 717 NA 663 NA 717 756 NA 717 717 NA 717 NA 717
